"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)"	"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)"	"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)"	"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)"	"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)"	"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)"	"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)"	"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)"	"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective FMO3 causes Trimethylaminuria (TMAU)"	"Defective FMO3 causes Trimethylaminuria (TMAU)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective MAOA causes Brunner syndrome (BRUNS)"	"Defective MAOA causes Brunner syndrome (BRUNS)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)"	"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Phase 1 - Functionalization of compounds"	"Phase 1 - Functionalization of compounds"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Integrin cell surface interactions"	"Integrin cell surface interactions"	"18/626"	"66/7644"	3.49894904486619e-06	0.00015075906536793	0.000134993777795066	"COL4A2/FN1/LUM/THBS1/VTN/VCAM1/ITGA2/COL4A3/COL16A1/JAM2/COL4A4/SPP1/TNC/ITGA8/ITGB8/COL9A2/ICAM3/FGA"	18
"M1"	"Collagen biosynthesis and modifying enzymes"	"Collagen biosynthesis and modifying enzymes"	"17/626"	"64/7644"	9.62480421244867e-06	0.00039742420727236	0.000355864471539221	"COL4A2/COL1A2/PPIB/COL15A1/PCOLCE/COL6A3/COL12A1/COL27A1/COL4A3/COL16A1/COL4A4/COL14A1/ADAMTS2/COL8A1/COL9A2/COL7A1/PCOLCE2"	17
"M1"	"Elastic fibre formation"	"Elastic fibre formation"	"13/626"	"41/7644"	1.34882319759825e-05	0.000534673515527946	0.000478761244452768	"FBLN1/VTN/FBLN5/EFEMP1/FBN2/MFAP4/ELN/BMP4/ITGA8/LOXL3/FBLN2/ITGB8/MFAP5"	13
"M1"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	"9/626"	"21/7644"	1.87302394611432e-05	0.000713910280999727	0.000639254731406628	"IGFBP5/IGFBP4/IGF2/MMP2/IGFBP2/IGFBP6/IGFBP3/PAPPA/KLK1"	9
"M1"	"O-glycosylation of TSR domain-containing proteins"	"O-glycosylation of TSR domain-containing proteins"	"12/626"	"39/7644"	4.06509470544932e-05	0.00149204031596306	0.00133601358155703	"THBS1/ADAMTS1/ADAMTSL2/SPON2/THBS2/SPON1/ADAMTS10/ADAMTS2/ADAMTSL4/ADAMTSL1/ADAMTS12/ADAMTSL3"	12
"M1"	"Collagen formation"	"Collagen formation"	"19/626"	"86/7644"	5.01488162133354e-05	0.00177490988812198	0.00158930270931736	"COL4A2/COL1A2/PPIB/COL15A1/PCOLCE/COL6A3/COL12A1/COL27A1/COL4A3/LAMB3/COL16A1/COL4A4/COL14A1/ADAMTS2/COL8A1/LOXL3/COL9A2/COL7A1/PCOLCE2"	19
"M1"	"Scavenging by Class A Receptors"	"Scavenging by Class A Receptors"	"8/626"	"19/7644"	6.47919533867811e-05	0.00221409744159655	0.00198256321978426	"APOE/COL4A2/COL1A2/COLEC11/MARCO/SCARA5/MASP1/APOA1"	8
"M1"	"Retinoid metabolism and transport"	"Retinoid metabolism and transport"	"12/626"	"41/7644"	7.04949407234364e-05	0.00232868287523085	0.00208516614139849	"APOE/SDC1/BCO2/SDC2/GPC4/GPC3/AKR1C1/PLB1/RBP4/AKR1B10/PNLIP/APOA1"	12
"M1"	"Molecules associated with elastic fibres"	"Molecules associated with elastic fibres"	"10/626"	"30/7644"	8.38670512983444e-05	0.00268104025279546	0.0024006765448049	"FBLN1/VTN/FBLN5/EFEMP1/MFAP4/BMP4/ITGA8/FBLN2/ITGB8/MFAP5"	10
"M1"	"ECM proteoglycans"	"ECM proteoglycans"	"14/626"	"55/7644"	9.7444388218953e-05	0.0030177308976557	0.00270215852857162	"SPARC/DCN/TNXB/NCAM1/LUM/VTN/VCAN/ITGA2/LAMA2/FMOD/TNC/ITGA8/COL9A2/ACAN"	14
"M1"	"Muscle contraction"	"Muscle contraction"	"13/626"	"49/7644"	0.000108918157071167	0.00327084526234929	0.0029288040322486	"VIM/TPM2/LMOD1/MYLK/MYH11/SORBS1/NEB/DES/MYBPC3/ACTG2/TNNT2/TNNI2/TNNI3"	13
"M1"	"Keratan sulfate degradation"	"Keratan sulfate degradation"	"6/626"	"12/7644"	0.000177178226192104	0.00516422418106984	0.00462418714179391	"LUM/PRELP/FMOD/OGN/OMD/ACAN"	6
"M1"	"Cholesterol biosynthesis"	"Cholesterol biosynthesis"	"8/626"	"22/7644"	0.000219678864192984	0.00622005012614992	0.00556960248164468	"DHCR24/TM7SF2/FDFT1/EBP/HMGCR/FDPS/MVK/CYP51A1"	8
"M1"	"Endogenous sterols"	"Endogenous sterols"	"8/626"	"23/7644"	0.000312926700176784	0.00838136107770792	0.00750489923894819	"CYP17A1/CYP11B1/CYP11B2/NCOA2/CYP1B1/CYP51A1/PTGIS/POMC"	8
"M1"	"Regulation of Complement cascade"	"Regulation of Complement cascade"	"8/626"	"23/7644"	0.000312926700176784	0.00838136107770792	0.00750489923894819	"C7/C3/CD55/C4A/VTN/CFH/CFB/C4BPA"	8
"M1"	"Non-integrin membrane-ECM interactions"	"Non-integrin membrane-ECM interactions"	"11/626"	"42/7644"	0.000414143072598088	0.0108004153932817	0.00967098643213818	"DDR2/THBS1/VTN/PRKCA/LAMC3/SDC1/ITGA2/LAMA2/LAMB3/SDC2/TNC"	11
"M1"	"Lipid digestion, mobilization, and transport"	"Lipid digestion, mobilization, and transport"	"12/626"	"50/7644"	0.000546824217617135	0.0138949435809892	0.0124419113482117	"APOE/ABCA1/PLTP/ABCG1/LIPE/SDC1/CAV1/FABP4/CEL/PLIN1/PNLIP/APOA1"	12
"M1"	"Axon guidance"	"Axon guidance"	"44/626"	"327/7644"	0.000637882781403255	0.0145499603571585	0.0130284312295763	"ABLIM1/COL4A2/SEMA6A/IL6ST/NCAM1/NRCAM/MMP2/NRP2/NFASC/PLXNB3/COL6A3/EGFR/FGFR1/NGEF/ITGA2/SLIT2/CACNA1D/ANK2/SLIT3/COL4A3/MYH11/COL4A4/DPYSL3/SDC2/MYO10/CACNA1I/UNC5C/ROBO3/PAK6/DNM1/CACNB2/SEMA7A/SCN4B/COL9A2/CNTN6/EPHB2/SCN7A/EFNA3/ANK1/DPYSL4/MYH14/CHL1/CDK1/PAK3"	44
"M1"	"Syndecan interactions"	"Syndecan interactions"	"7/626"	"20/7644"	0.000718524738722396	0.0145499603571585	0.0130284312295763	"THBS1/VTN/PRKCA/SDC1/ITGA2/SDC2/TNC"	7
"M1"	"Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)"	"Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)"	"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Defective GGT1 causes Glutathionuria (GLUTH)"	"Defective GGT1 causes Glutathionuria (GLUTH)"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)"	"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)"	"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)"	"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)"	"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)"	"Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Defective UGT1A1 causes hyperbilirubinemia"	"Defective UGT1A1 causes hyperbilirubinemia"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Defective UGT1A4 causes hyperbilirubinemia"	"Defective UGT1A4 causes hyperbilirubinemia"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Phase II conjugation"	"Phase II conjugation"	"17/626"	"89/7644"	0.000763469161021433	0.0145499603571585	0.0130284312295763	"MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/SULT1A1/GGT5/GSTA3/NNMT/SULT1E1/GSTM1/GSTA2/SULT1A3/MAT1A/GSTT2"	17
"M1"	"Cytochrome P450 - arranged by substrate type"	"Cytochrome P450 - arranged by substrate type"	"13/626"	"60/7644"	0.000926486550128432	0.0173235503995712	0.0155119793795088	"CYP17A1/CYP11B1/CYP11B2/NCOA2/CYP3A5/CYP2W1/CYP1B1/CYP51A1/PTGIS/CYP26B1/POMC/CYP4F11/CYP4B1"	13
"M1"	"Glutathione conjugation"	"Glutathione conjugation"	"9/626"	"33/7644"	0.00100564646555397	0.0184554749511848	0.0165255354865886	"MGST1/GSTA1/GSTA4/GSTP1/GGT5/GSTA3/GSTM1/GSTA2/GSTT2"	9
"M1"	"Response to elevated platelet cytosolic Ca2+"	"Response to elevated platelet cytosolic Ca2+"	"16/626"	"84/7644"	0.00111554318847279	0.0193948690819726	0.0173666946052396	"CLU/SPARC/TIMP1/IGF2/FN1/SERPING1/THBS1/PRKCA/VWF/TUBA4A/CD36/HGF/CFD/MMRN1/APOA1/FGA"	16
"M1"	"Diseases associated with visual transduction"	"Diseases associated with visual transduction"	"17/626"	"92/7644"	0.00112682749486313	0.0193948690819726	0.0173666946052396	"APOE/MYO7A/PRKCA/SDC1/BCO2/SDC2/GPC4/GPC3/AKR1C1/PLB1/RGS9/RBP4/AKR1B10/RDH12/HSD17B6/PNLIP/APOA1"	17
"M1"	"Visual phototransduction"	"Visual phototransduction"	"17/626"	"92/7644"	0.00112682749486313	0.0193948690819726	0.0173666946052396	"APOE/MYO7A/PRKCA/SDC1/BCO2/SDC2/GPC4/GPC3/AKR1C1/PLB1/RGS9/RBP4/AKR1B10/RDH12/HSD17B6/PNLIP/APOA1"	17
"M1"	"Assembly of collagen fibrils and other multimeric structures"	"Assembly of collagen fibrils and other multimeric structures"	"12/626"	"54/7644"	0.00114147236534966	0.0193948690819726	0.0173666946052396	"COL4A2/COL1A2/COL15A1/PCOLCE/COL6A3/COL27A1/COL4A3/LAMB3/COL4A4/COL8A1/LOXL3/COL7A1"	12
"M1"	"Polo-like kinase mediated events"	"Polo-like kinase mediated events"	"6/626"	"16/7644"	0.00115468948116688	0.0193948690819726	0.0173666946052396	"CCNB1/CENPF/FOXM1/PKMYT1/CCNB2/MYBL2"	6
"M1"	"Keratan sulfate biosynthesis"	"Keratan sulfate biosynthesis"	"8/626"	"28/7644"	0.00137432322559045	0.0226992386093355	0.0203255171784692	"LUM/PRELP/B3GNT7/FMOD/CHST6/OGN/OMD/ACAN"	8
"M1"	"Platelet degranulation"	"Platelet degranulation"	"15/626"	"79/7644"	0.00163156558966815	0.0265062540878874	0.0237344226417644	"CLU/SPARC/TIMP1/IGF2/FN1/SERPING1/THBS1/VWF/TUBA4A/CD36/HGF/CFD/MMRN1/APOA1/FGA"	15
"M1"	"Cytosolic sulfonation of small molecules"	"Cytosolic sulfonation of small molecules"	"6/626"	"17/7644"	0.0016622808490389	0.0265696826031863	0.0237912182638335	"PAPSS2/SULT2A1/SLC26A2/SULT1A1/SULT1E1/SULT1A3"	6
"M1"	"Glycogen storage diseases"	"Glycogen storage diseases"	"35/626"	"258/7644"	0.00194123844639409	0.029596420005793	0.0265014414625137	"GAPDH/UBC/DCN/PAPSS2/UBB/SLC26A2/LUM/LYVE1/VCAN/ENO2/PRPS2/SDC1/PRELP/PYGL/ALDOC/PFKP/B3GNT7/SLC2A1/SDC2/GPC4/FMOD/CHST6/FBP1/HS6ST3/HK2/GPC3/SLC2A4/HK3/OGN/GCKR/PFKFB4/SLC2A5/OMD/ALDOB/ACAN"	35
"M1"	"Metabolism of carbohydrates"	"Metabolism of carbohydrates"	"35/626"	"258/7644"	0.00194123844639409	0.029596420005793	0.0265014414625137	"GAPDH/UBC/DCN/PAPSS2/UBB/SLC26A2/LUM/LYVE1/VCAN/ENO2/PRPS2/SDC1/PRELP/PYGL/ALDOC/PFKP/B3GNT7/SLC2A1/SDC2/GPC4/FMOD/CHST6/FBP1/HS6ST3/HK2/GPC3/SLC2A4/HK3/OGN/GCKR/PFKFB4/SLC2A5/OMD/ALDOB/ACAN"	35
"M1"	"Myoclonic epilepsy of Lafora"	"Myoclonic epilepsy of Lafora"	"35/626"	"258/7644"	0.00194123844639409	0.029596420005793	0.0265014414625137	"GAPDH/UBC/DCN/PAPSS2/UBB/SLC26A2/LUM/LYVE1/VCAN/ENO2/PRPS2/SDC1/PRELP/PYGL/ALDOC/PFKP/B3GNT7/SLC2A1/SDC2/GPC4/FMOD/CHST6/FBP1/HS6ST3/HK2/GPC3/SLC2A4/HK3/OGN/GCKR/PFKFB4/SLC2A5/OMD/ALDOB/ACAN"	35
"M1"	"Arachidonic acid metabolism"	"Arachidonic acid metabolism"	"11/626"	"50/7644"	0.00198025545330298	0.0297338356700493	0.0266244871951262	"EPHX2/GGT5/PTGDS/CYP1B1/ALOX5/HPGD/PLA2G4A/PTGIS/PTGS2/CYP4F11/CYP4B1"	11
"M1"	"Degradation of the extracellular matrix"	"Degradation of the extracellular matrix"	"16/626"	"89/7644"	0.00210065752863451	0.0310709195653253	0.0278217485724884	"TIMP1/DCN/COL15A1/NID1/MMP2/ADAMTS1/COL12A1/LAMB3/COL16A1/COL14A1/SPP1/MMP15/COL9A2/MMP24/PRSS1/ACAN"	16
