"Module"	"Gene1"	"Gene2"
"M1"	"DPP4"	"FBXO22"
"M1"	"DPP4"	"PPL"
"M1"	"DPP4"	"SRSF9"
"M1"	"DPP4"	"CEP97"
"M1"	"DPP4"	"SLC3A2"
"M1"	"DPP4"	"WDR12"
"M1"	"DPP4"	"RIMS4"
"M1"	"DPP4"	"SKI"
"M1"	"DPP4"	"DUSP10"
"M1"	"DPP4"	"EPN1"
"M1"	"DPP4"	"HPRT1"
"M1"	"DPP4"	"DET1"
"M1"	"DPP4"	"HNRNPA2B1"
"M1"	"DPP4"	"MUSTN1"
"M1"	"DPP4"	"AGRN"
"M1"	"DPP4"	"IGFALS"
"M1"	"DPP4"	"CCR4"
"M1"	"DPP4"	"WDR26"
"M1"	"DPP4"	"PRF1"
"M1"	"DPP4"	"APBB1IP"
"M1"	"DPP4"	"CSRP3"
"M1"	"DPP4"	"MPPED1"
"M1"	"DPP4"	"PTP4A1"
"M1"	"DPP4"	"TEP1"
"M1"	"DPP4"	"FAR1"
"M1"	"DPP4"	"FHL5"
"M1"	"DPP4"	"ANKRD27"
"M1"	"DPP4"	"TTYH3"
"M1"	"DPP4"	"SGCE"
"M1"	"DPP4"	"CDCA4"
"M1"	"DPP4"	"ZNF229"
"M1"	"DYNLRB1"	"PLA2G4A"
"M1"	"PAH"	"PTH1R"
"M1"	"PAH"	"ZKSCAN8"
"M1"	"PAH"	"RAB11FIP4"
"M1"	"PAH"	"PTAFR"
"M1"	"PAH"	"RASGRP1"
"M1"	"PAH"	"PRUNE2"
"M1"	"PAH"	"SEC61G"
"M1"	"TRIP12"	"RNF128"
"M1"	"TRIP12"	"PBK"
"M1"	"TRIP12"	"CNTFR"
"M1"	"TRIP12"	"DDIT4L"
"M1"	"TRIP12"	"SCUBE3"
"M1"	"CENPL"	"TMEM176A"
"M1"	"CENPL"	"EIF1AY"
"M1"	"LENG8"	"EME2"
"M1"	"LENG8"	"SLBP"
"M1"	"LENG8"	"C9orf50"
"M1"	"LENG8"	"AURKAIP1"
"M1"	"LENG8"	"ANKRD13C"
"M1"	"LENG8"	"PXMP2"
"M1"	"LENG8"	"SRP72"
"M1"	"LENG8"	"LCN2"
"M1"	"LENG8"	"MEOX2"
"M1"	"LENG8"	"HRH3"
"M1"	"LENG8"	"ITGA8"
"M1"	"LENG8"	"DENND3"
"M1"	"LENG8"	"DES"
"M1"	"LENG8"	"SKA3"
"M1"	"LENG8"	"DOCK4"
"M1"	"LENG8"	"MED30"
"M1"	"LENG8"	"RBBP6"
"M1"	"LENG8"	"SLC3A2"
"M1"	"LENG8"	"ZNRF3"
"M1"	"LENG8"	"ERBB2"
"M1"	"LENG8"	"MSRB1"
"M1"	"LENG8"	"TMED1"
"M1"	"LENG8"	"FOLR3"
"M1"	"LENG8"	"RELT"
"M1"	"LENG8"	"RAB13"
"M1"	"LENG8"	"GNG3"
"M1"	"LENG8"	"TRMT11"
"M1"	"LENG8"	"ARHGEF11"
"M1"	"LENG8"	"ZNF514"
"M1"	"FDPS"	"PTP4A1"
"M1"	"FDPS"	"HSPE1"
"M1"	"FDPS"	"BCL11A"
"M1"	"MAP3K13"	"RGS17"
"M1"	"MAP3K13"	"MYO16"
"M1"	"MAP3K13"	"REV3L"
"M1"	"MAP3K13"	"NEIL1"
"M1"	"MAP3K13"	"BCAP29"
"M1"	"MAP3K13"	"BHLHB9"
"M1"	"MAP3K13"	"CSRP3"
"M1"	"MAP3K13"	"MPPED1"
"M1"	"MAP3K13"	"CHCHD4"
"M1"	"MAP3K13"	"RAB5B"
"M1"	"MAP3K13"	"PTP4A1"
"M1"	"MAP3K13"	"RAB13"
"M1"	"MAP3K13"	"BEND5"
"M1"	"CEP170"	"PCYT1A"
"M1"	"HSD3B2"	"HIST1H3G"
"M1"	"HSD3B2"	"LSAMP"
"M1"	"HSD3B2"	"ABCE1"
"M1"	"HSD3B2"	"RBBP8"
"M1"	"HSD3B2"	"UTY"
"M1"	"HSD3B2"	"KLHDC9"
"M1"	"HSD3B2"	"PTP4A1"
"M1"	"HSD3B2"	"STAP1"
"M1"	"HSD3B2"	"AP3S2"
"M1"	"HSD3B2"	"CENPJ"
"M1"	"HSD3B2"	"COG2"
"M1"	"HSD3B2"	"RAB3GAP2"
"M1"	"HSD3B2"	"ASB18"
"M1"	"CD38"	"PTP4A1"
"M1"	"CD38"	"GATM"
"M1"	"HK2"	"PTP4A1"
"M1"	"HK2"	"SPO11"
"M1"	"HK2"	"N4BP3"
"M1"	"IL1RL1"	"DLC1"
"M1"	"IL1RL1"	"PNP"
"M1"	"IL1RL1"	"METTL9"
"M1"	"IL1RL1"	"KCNK17"
"M1"	"IL1RL1"	"CRIPAK"
"M1"	"IL1RL1"	"EEF1A2"
"M1"	"IL1RL1"	"PTP4A1"
"M1"	"IL1RL1"	"MXD4"
"M1"	"IL1RL1"	"CACNA1C"
"M1"	"IL1RL1"	"ARL6"
"M1"	"IL1RL1"	"TRAF3IP1"
"M1"	"IL1RL1"	"N4BP2"
"M1"	"IL1RL1"	"COLGALT1"
"M1"	"IL1RL1"	"SCN4A"
"M1"	"IL1RL1"	"MED9"
"M1"	"IL1RL1"	"TRIM33"
"M1"	"IL1RL1"	"TGM3"
"M1"	"IL1RL1"	"POC1B"
"M1"	"TCL1B"	"EGFR"
"M1"	"OLA1"	"RNF217"
"M1"	"WDR83OS"	"RASGRF1"
"M1"	"WDR83OS"	"CXCR4"
"M1"	"WDR83OS"	"MARCH8"
"M1"	"CORO1C"	"EIF1AY"
"M1"	"MME"	"PITX1"
"M1"	"MME"	"FILIP1"
"M1"	"MME"	"VBP1"
"M1"	"MME"	"SPATA13"
"M1"	"MME"	"PCBP1"
"M1"	"MME"	"ERBB2"
"M1"	"MME"	"PTP4A1"
"M1"	"MME"	"MAOB"
"M1"	"MME"	"WFDC3"
"M1"	"RPL21"	"DDX42"
"M1"	"RPL21"	"TRO"
"M1"	"RPL21"	"CD79A"
"M1"	"RPL21"	"PTP4A1"
"M1"	"RPL21"	"FBXW4"
"M1"	"RPL21"	"EDARADD"
"M1"	"RPL21"	"PPBP"
"M1"	"RPL21"	"EPHX2"
"M1"	"RPL21"	"CPB2"
"M1"	"RPL21"	"COMTD1"
"M1"	"PRUNE"	"HIPK3"
"M1"	"PRUNE"	"AHRR"
"M1"	"PRUNE"	"EIF1AY"
"M1"	"NCAM1"	"PMS2"
"M1"	"NCAM1"	"NCOA3"
"M1"	"NCAM1"	"PTTG1"
"M1"	"NCAM1"	"CCNB2"
"M1"	"NCAM1"	"TXNL1"
"M1"	"NCAM1"	"OSR1"
"M1"	"NCAM1"	"PRKAB2"
"M1"	"NCAM1"	"CSRP3"
"M1"	"NCAM1"	"LIMA1"
"M1"	"NCAM1"	"GMFB"
"M1"	"NCAM1"	"C2"
"M1"	"NCAM1"	"DTX1"
"M1"	"NCAM1"	"EIF3F"
"M1"	"NCAM1"	"KDM2A"
"M1"	"NCAM1"	"EWSR1"
"M1"	"NCAM1"	"MFGE8"
"M1"	"NCAM1"	"SCAI"
"M1"	"NCAM1"	"SLA2"
"M1"	"NCAM1"	"ZNRF1"
"M1"	"NCAM1"	"HIAT1"
"M1"	"NLRC4"	"FAT1"
"M1"	"NLRC4"	"EIF5AL1"
"M1"	"EYA3"	"GATA6"
"M1"	"EYA3"	"PRKD2"
"M1"	"EYA3"	"ZNF667"
"M1"	"EYA3"	"ZNF91"
"M1"	"EYA3"	"HLTF"
"M1"	"EYA3"	"KLHL17"
"M1"	"EYA3"	"NFATC2"
"M1"	"EYA3"	"PRDM2"
"M1"	"EYA3"	"GJD4"
"M1"	"EYA3"	"DNAJB2"
"M1"	"EYA3"	"PSMC3IP"
"M1"	"EYA3"	"POLR1D"
"M1"	"EYA3"	"PPAP2B"
"M1"	"EYA3"	"FCER1A"
"M1"	"EYA3"	"CCR4"
"M1"	"EYA3"	"KDM3A"
"M1"	"EYA3"	"CRIPT"
"M1"	"EYA3"	"TMED1"
"M1"	"EYA3"	"APBB1IP"
"M1"	"EYA3"	"CSRP3"
"M1"	"EYA3"	"CASP8"
"M1"	"EYA3"	"PTP4A1"
"M1"	"EYA3"	"CDKN2AIP"
"M1"	"TMEM64"	"FGD2"
"M1"	"TMEM64"	"DUOX2"
"M1"	"STAT5B"	"SGK1"
"M1"	"PTGIS"	"VPS28"
"M1"	"PTGIS"	"APBB1IP"
"M1"	"PTGIS"	"PTP4A1"
"M1"	"PTGIS"	"C1orf94"
"M1"	"PTGIS"	"BAIAP2L1"
"M1"	"PTGIS"	"WDR92"
"M1"	"ZBTB11"	"OLFML3"
"M1"	"ZBTB11"	"GPC3"
"M1"	"ZBTB11"	"NPNT"
"M1"	"ZBTB11"	"BEST1"
"M1"	"PDZRN3"	"PYGO1"
"M1"	"PDZRN3"	"SDCCAG8"
"M1"	"PDZRN3"	"PTP4A1"
"M1"	"PDZRN3"	"DDX31"
"M1"	"PDZRN3"	"NAA25"
"M1"	"PDZRN3"	"ZNF736"
"M1"	"HSBP1"	"ATP2A3"
"M1"	"HSBP1"	"ZDHHC20"
"M1"	"KIF11"	"ZIC1"
"M1"	"KIF11"	"RPL23A"
"M1"	"KIF11"	"PTP4A1"
"M1"	"KIF11"	"FBL"
"M1"	"KIF11"	"VPS72"
"M1"	"KIF11"	"KLHDC3"
"M1"	"KIF11"	"ZNF43"
"M1"	"LPIN2"	"FGD2"
"M1"	"HSD17B12"	"TSC22D3"
"M1"	"HSD17B12"	"LAMTOR4"
"M1"	"HSD17B12"	"KLHL17"
"M1"	"HSD17B12"	"DLX5"
"M1"	"HSD17B12"	"CCNA1"
"M1"	"HSD17B12"	"PTN"
"M1"	"HSD17B12"	"ABCE1"
"M1"	"HSD17B12"	"IL1RAP"
"M1"	"HSD17B12"	"PTP4A1"
"M1"	"HSD17B12"	"GDF2"
"M1"	"HSD17B12"	"MOCS3"
"M1"	"HSD17B12"	"PKNOX1"
"M1"	"HSD17B12"	"SRY"
"M1"	"HSD17B12"	"KRT28"
"M1"	"HSD17B12"	"C10orf82"
"M1"	"HSD17B12"	"RPS13"
"M1"	"POLR3D"	"CBLN4"
"M1"	"GSTP1"	"SUFU"
"M1"	"GSTP1"	"PTPRD"
"M1"	"GSTP1"	"GJD4"
"M1"	"GSTP1"	"WDR12"
"M1"	"GSTP1"	"RBBP8"
"M1"	"GSTP1"	"PTP4A1"
"M1"	"GSTP1"	"ASB11"
"M1"	"GSTP1"	"STARD7"
"M1"	"FOXO3"	"SEZ6L2"
"M1"	"DDI2"	"PTP4A1"
"M1"	"DDI2"	"NEUROG1"
"M1"	"DDI2"	"GPR61"
"M1"	"DDI2"	"MRPL15"
"M1"	"DDI2"	"OAS2"
"M1"	"EPB41L1"	"AHRR"
"M1"	"EPB41L1"	"MAOB"
"M1"	"NRCAM"	"TRAK1"
"M1"	"NRCAM"	"SRP72"
"M1"	"NRCAM"	"CDCA5"
"M1"	"NRCAM"	"HRH3"
"M1"	"NRCAM"	"YOD1"
"M1"	"NRCAM"	"CCL7"
"M1"	"NRCAM"	"MNT"
"M1"	"NRCAM"	"GSPT1"
"M1"	"NRCAM"	"LIPE"
"M1"	"NRCAM"	"GRM4"
"M1"	"NRCAM"	"IL17A"
"M1"	"NRCAM"	"LIN52"
"M1"	"NRCAM"	"REPS2"
"M1"	"NRCAM"	"FBXW11"
"M1"	"NRCAM"	"DNAJC11"
"M1"	"NRCAM"	"ADAM22"
"M1"	"NRCAM"	"MSN"
"M1"	"NRCAM"	"PADI4"
"M1"	"NRCAM"	"EAF2"
"M1"	"NRCAM"	"GRHL2"
"M1"	"NRCAM"	"CDH1"
"M1"	"NRCAM"	"POLR1D"
"M1"	"NRCAM"	"SLC3A2"
"M1"	"NRCAM"	"SKI"
"M1"	"NRCAM"	"ACTR8"
"M1"	"NRCAM"	"ERBB2"
"M1"	"NRCAM"	"CSPG4"
"M1"	"NRCAM"	"PTP4A1"
"M1"	"NRCAM"	"MUC2"
"M1"	"NRCAM"	"RFXAP"
"M1"	"NRCAM"	"ASB12"
"M1"	"NRCAM"	"SP100"
"M1"	"NRCAM"	"SIRT2"
"M1"	"NRCAM"	"ARF3"
"M1"	"NRCAM"	"PPP2R5D"
"M1"	"NRCAM"	"KRT12"
"M1"	"NRCAM"	"MAGEF1"
"M1"	"NRCAM"	"ERCC8"
"M1"	"NRCAM"	"HIST2H4B"
"M1"	"NRCAM"	"PRR7"
"M1"	"NRCAM"	"F2RL1"
"M1"	"DYNC1I1"	"ATP1B1"
"M1"	"DYNC1I1"	"UTY"
"M1"	"SDC2"	"ARNTL2"
"M1"	"SDC2"	"ATP7A"
"M1"	"SMN2"	"SLC25A12"
"M1"	"SMN2"	"DOK1"
"M1"	"SMN2"	"SLC22A16"
"M1"	"SMN2"	"EPS8L2"
"M1"	"SMN2"	"CDC42EP5"
"M1"	"SMN2"	"GNE"
"M1"	"SMN2"	"MRPL17"
"M1"	"SMN2"	"NLRP4"
"M1"	"SMN2"	"JUND"
"M1"	"SMN2"	"DHX33"
"M1"	"SMN2"	"PSMB1"
"M1"	"SMN2"	"IL12A"
"M1"	"SMN2"	"XAB2"
"M1"	"SMN2"	"HSPA2"
"M1"	"SMN2"	"SOCS6"
"M1"	"SMN2"	"RASGRF2"
"M1"	"SMN2"	"HIST1H3B"
"M1"	"SMN2"	"DDX6"
"M1"	"SMN2"	"PER3"
"M1"	"SMN2"	"ADAM22"
"M1"	"SMN2"	"PPFIA2"
"M1"	"SMN2"	"CCL5"
"M1"	"SMN2"	"RHOG"
"M1"	"SMN2"	"ANGPT1"
"M1"	"SMN2"	"KLHL1"
"M1"	"SMN2"	"CHMP3"
"M1"	"SMN2"	"PTN"
"M1"	"SMN2"	"BTBD3"
"M1"	"SMN2"	"DCBLD1"
"M1"	"SMN2"	"BCL9L"
"M1"	"SMN2"	"CAMK2A"
"M1"	"SMN2"	"KCNS3"
"M1"	"SMN2"	"IL3"
"M1"	"SMN2"	"ADRB2"
"M1"	"SMN2"	"DGCR14"
"M1"	"SMN2"	"CSRP3"
"M1"	"SMN2"	"CSPG4"
"M1"	"SMN2"	"PTP4A1"
"M1"	"SMN2"	"FCGR2B"
"M1"	"SMN2"	"CXCR2"
"M1"	"SMN2"	"TGFB2"
"M1"	"SMN2"	"UBE2R2"
"M1"	"SMN2"	"DDB1"
"M1"	"SMN2"	"DCUN1D3"
"M1"	"SMN2"	"NME5"
"M1"	"SMN2"	"STAT4"
"M1"	"SMN2"	"GRK4"
"M1"	"SMN2"	"GRB7"
"M1"	"SMN2"	"TWF1"
"M1"	"SMN2"	"C5AR1"
"M1"	"SMN2"	"CDC14A"
"M1"	"SMN2"	"UBA1"
"M1"	"SMN2"	"ATXN2L"
"M1"	"SMN2"	"H3F3A"
"M1"	"SMN2"	"ACTR1A"
"M1"	"SMN2"	"APEH"
"M1"	"SMN2"	"MECOM"
"M1"	"SMN2"	"LY6G6F"
"M1"	"SMN2"	"MYCBP2"
"M1"	"SMN2"	"PRPF6"
"M1"	"SMN2"	"SORBS3"
"M1"	"SMN2"	"RNF19B"
"M1"	"SMN2"	"BACH2"
"M1"	"SMN2"	"NUAK2"
"M1"	"SMN2"	"GPR26"
"M1"	"SMN2"	"MSX1"
"M1"	"SMN2"	"RPAP3"
"M1"	"SMN2"	"EIF2B5"
"M1"	"SMN2"	"CNTN1"
"M1"	"SMN2"	"OLIG2"
"M1"	"SMN2"	"LIPG"
"M1"	"SMN2"	"TGDS"
"M1"	"SMN2"	"ENPP2"
"M1"	"GRIN2C"	"ACKR3"
"M1"	"GRIN2C"	"MYO16"
"M1"	"GRIN2C"	"ERBB2"
"M1"	"GRIN2C"	"SCGB3A2"
"M1"	"GRIN2C"	"PRF1"
"M1"	"GRIN2C"	"APBB1IP"
"M1"	"GRIN2C"	"CSRP3"
"M1"	"GRIN2C"	"CTBS"
"M1"	"GRIN2C"	"RAB5B"
"M1"	"GRIN2C"	"PTP4A1"
"M1"	"GRIN2C"	"PABPC3"
"M1"	"GRIN2C"	"ALCAM"
"M1"	"PIK3R5"	"AP1S1"
"M1"	"PIK3R5"	"ASF1B"
"M1"	"PIK3R5"	"AHRR"
"M1"	"BLOC1S6"	"FST"
"M1"	"MARCKS"	"KIRREL"
"M1"	"SNAP23"	"SNCB"
"M1"	"SNAP23"	"CCND1"
"M1"	"SNAP23"	"SEPT4"
"M1"	"SNAP23"	"ZNF185"
"M1"	"MAP1B"	"TK1"
"M1"	"MAP1B"	"C10orf82"
"M1"	"IKBKE"	"DUOX2"
"M1"	"PLCB2"	"SUN1"
"M1"	"PLCB2"	"GZMM"
"M1"	"PLCB2"	"PSMB9"
"M1"	"PLCB2"	"JUP"
"M1"	"PLCB2"	"CACYBP"
"M1"	"PLCB2"	"HDAC10"
"M1"	"PLCB2"	"BTBD3"
"M1"	"PLCB2"	"TSG101"
"M1"	"PLCB2"	"RAD18"
"M1"	"PLCB2"	"PPAP2B"
"M1"	"PLCB2"	"KIFC1"
"M1"	"PLCB2"	"CDC25C"
"M1"	"PLCB2"	"EPN2"
"M1"	"PLCB2"	"NMT2"
"M1"	"PLCB2"	"ADORA2A"
"M1"	"PLCB2"	"PRKAB2"
"M1"	"PLCB2"	"PRF1"
"M1"	"PLCB2"	"VPS28"
"M1"	"PLCB2"	"DCAF17"
"M1"	"PLCB2"	"MPPED1"
"M1"	"PLCB2"	"RAB5B"
"M1"	"PLCB2"	"PTP4A1"
"M1"	"PLCB2"	"VPS37D"
"M1"	"PLCB2"	"RFXAP"
"M1"	"PLCB2"	"CD2AP"
"M1"	"PLCB2"	"ZNF2"
"M1"	"PLCB2"	"HFE"
"M1"	"PLCB2"	"TRMT11"
"M1"	"PLCB2"	"BAIAP2L1"
"M1"	"PLCB2"	"ARHGAP4"
"M1"	"PLCB2"	"UBL5"
"M1"	"PLCB2"	"C11orf68"
"M1"	"PLCB2"	"ATAT1"
"M1"	"PLCB2"	"NNMT"
"M1"	"PLCB2"	"FAM50B"
"M1"	"PLCB2"	"SLC16A4"
"M1"	"PLCB2"	"TPST2"
"M1"	"PLCB2"	"JMY"
"M1"	"PLCB2"	"CNST"
"M1"	"PLCB2"	"CDK20"
"M1"	"PLCB2"	"ZSCAN21"
"M1"	"PLCB2"	"PRRC2A"
"M1"	"PLCB2"	"COL12A1"
"M1"	"PLCB2"	"FAM172A"
"M1"	"WNK4"	"DHCR24"
"M1"	"CCK"	"RRM2"
"M1"	"CCK"	"DPYSL3"
"M1"	"CCK"	"ZDHHC20"
"M1"	"CCK"	"DUOX2"
"M1"	"DIO2"	"HSPA2"
"M1"	"DIO2"	"GPC3"
"M1"	"DIO2"	"NEIL1"
"M1"	"DIO2"	"ABCA6"
"M1"	"GABBR1"	"PRKCD"
"M1"	"GABBR1"	"LCN2"
"M1"	"GABBR1"	"CAPN2"
"M1"	"GABBR1"	"HSPA2"
"M1"	"GABBR1"	"SMYD2"
"M1"	"GABBR1"	"ACVR1"
"M1"	"GABBR1"	"RPL23A"
"M1"	"GABBR1"	"NAA16"
"M1"	"GABBR1"	"HPRT1"
"M1"	"GABBR1"	"KLHDC9"
"M1"	"GABBR1"	"PTP4A1"
"M1"	"GABBR1"	"ADAM2"
"M1"	"POLR2F"	"IRAK1"
"M1"	"POLR2F"	"S100A13"
"M1"	"POLR2F"	"CTSA"
"M1"	"POLR2F"	"TESK2"
"M1"	"POLR2F"	"FBXO22"
"M1"	"POLR2F"	"TROAP"
"M1"	"POLR2F"	"FOXJ3"
"M1"	"POLR2F"	"CSRP3"
"M1"	"POLR2F"	"FOLR3"
"M1"	"POLR2F"	"PTP4A1"
"M1"	"POLR2F"	"ASB3"
"M1"	"POLR2F"	"ACVR2B"
"M1"	"POLR2F"	"ZW10"
"M1"	"POLR2F"	"ABCC4"
"M1"	"POLR2F"	"MAPK8IP1"
"M1"	"POLR2F"	"KDM5B"
"M1"	"POLR2F"	"HDAC8"
"M1"	"POLR2F"	"ZIC3"
"M1"	"POLR2F"	"UHMK1"
"M1"	"POLR2F"	"LYRM4"
"M1"	"POLR2F"	"BAG1"
"M1"	"POLR2F"	"AIM2"
"M1"	"ZMIZ2"	"RNF217"
"M1"	"ZMIZ2"	"PITPNM1"
"M1"	"TUBB3"	"OSM"
"M1"	"TUBB3"	"STT3B"
"M1"	"TUBB3"	"AP2A1"
"M1"	"TUBB3"	"KLHDC9"
"M1"	"TUBB3"	"C19orf25"
"M1"	"TUBB3"	"DNAH2"
"M1"	"COPZ2"	"FMOD"
"M1"	"MUCL1"	"RIMS4"
"M1"	"MUCL1"	"FGF17"
"M1"	"HEXA"	"MATN2"
"M1"	"HEXA"	"HIPK3"
"M1"	"FAT1"	"PRLHR"
"M1"	"FAT1"	"SCNN1D"
"M1"	"FAT1"	"MAP3K1"
"M1"	"FAT1"	"ATR"
"M1"	"RALYL"	"ITPR3"
"M1"	"RALYL"	"MS4A2"
"M1"	"RALYL"	"CARD8"
"M1"	"RALYL"	"PTGS1"
"M1"	"RALYL"	"PRKDC"
"M1"	"UCN2"	"ALOX5"
"M1"	"RAB3IL1"	"RNF128"
"M1"	"RAB3IL1"	"RIMS4"
"M1"	"RAB3IL1"	"DHRS13"
"M1"	"CHMP5"	"AR"
"M1"	"KCNB2"	"SRPX"
"M1"	"CCL14"	"NSFL1C"
"M1"	"CCL14"	"RPS11"
"M1"	"CCL14"	"RABGAP1"
"M1"	"CCL14"	"PTP4A1"
"M1"	"CCL14"	"SPICE1"
"M1"	"CCL14"	"CHD2"
"M1"	"CCL14"	"ZNF138"
"M1"	"KLF2"	"SPHK1"
"M1"	"KLF2"	"TSC22D3"
"M1"	"KLF2"	"CFLAR"
"M1"	"KLF2"	"MLST8"
"M1"	"KLF2"	"UBE2M"
"M1"	"KLF2"	"SLC1A1"
"M1"	"KLF2"	"ATP1A3"
"M1"	"KLF2"	"SPRY2"
"M1"	"KLF2"	"FGGY"
"M1"	"KLF2"	"ZNF836"
"M1"	"KLF2"	"SV2A"
"M1"	"F2R"	"COL1A2"
"M1"	"F2R"	"DHRS13"
"M1"	"MAP3K5"	"LAMTOR4"
"M1"	"MAP3K5"	"DLC1"
"M1"	"MAP3K5"	"F8A1"
"M1"	"MAP3K5"	"TUBA1C"
"M1"	"MAP3K5"	"CSPG4"
"M1"	"MAP3K5"	"IL1RAP"
"M1"	"MAP3K5"	"PTP4A1"
"M1"	"MAP3K5"	"PRKAA1"
"M1"	"MAP3K5"	"RTKN2"
"M1"	"MAP3K5"	"C8orf34"
"M1"	"TNFRSF25"	"PTP4A1"
"M1"	"TNFRSF25"	"PGK2"
"M1"	"TNFRSF25"	"VAMP8"
"M1"	"TNFRSF25"	"KANK4"
"M1"	"C14orf166"	"POMC"
"M1"	"C14orf166"	"SERPINF1"
"M1"	"C14orf166"	"NFIC"
"M1"	"CCDC12"	"TK1"
"M1"	"CCDC12"	"COL12A1"
"M1"	"IL16"	"RIMS4"
"M1"	"IL16"	"NEIL1"
"M1"	"IL16"	"PLK2"
"M1"	"GRB14"	"VAMP7"
"M1"	"GRB14"	"TCEAL2"
"M1"	"GRB14"	"TRAK1"
"M1"	"GRB14"	"PAX6"
"M1"	"GRB14"	"MNT"
"M1"	"GRB14"	"ITGA8"
"M1"	"GRB14"	"LRRFIP1"
"M1"	"GRB14"	"EIF1AX"
"M1"	"GRB14"	"MRPS30"
"M1"	"GRB14"	"KIT"
"M1"	"GRB14"	"NCK1"
"M1"	"GRB14"	"CD59"
"M1"	"GRB14"	"ECHDC1"
"M1"	"GRB14"	"CDK19"
"M1"	"GRB14"	"UBE2L6"
"M1"	"GRB14"	"DPF1"
"M1"	"GRB14"	"IGFALS"
"M1"	"GRB14"	"ADRB2"
"M1"	"GRB14"	"PTP4A1"
"M1"	"GRB14"	"STX1A"
"M1"	"GRB14"	"ZNF2"
"M1"	"GRB14"	"HFE"
"M1"	"NUDT21"	"KIRREL"
"M1"	"VCAN"	"EME2"
"M1"	"VCAN"	"AGO4"
"M1"	"VCAN"	"GIT1"
"M1"	"VCAN"	"PRELP"
"M1"	"VCAN"	"S100A13"
"M1"	"VCAN"	"FGFR4"
"M1"	"VCAN"	"LGR5"
"M1"	"VCAN"	"MBD3"
"M1"	"VCAN"	"TNNT3"
"M1"	"VCAN"	"SCOC"
"M1"	"VCAN"	"SF3A3"
"M1"	"ITGA2"	"ZYX"
"M1"	"ITGA2"	"UTY"
"M1"	"ITGA2"	"KLHDC9"
"M1"	"ITGA2"	"DCAF17"
"M1"	"ITGA2"	"FOLR3"
"M1"	"ITGA2"	"PTP4A1"
"M1"	"ITGA2"	"IGSF1"
"M1"	"ITGA2"	"RABL6"
"M1"	"ITGA2"	"CBLN4"
